Wavelength	Extrapolation Prescription	Cutoff prescription
nm	cm^2	cm^2
220.549	1.68E-26	
220.614	1.63E-26	
220.679	1.59E-26	
220.744	1.55E-26	
220.809	1.51E-26	
220.874	1.46E-26	
220.939	1.43E-26	
221.004	1.39E-26	
221.069	1.35E-26	
221.134	1.31E-26	
221.199	1.28E-26	
221.264	1.24E-26	
221.329	1.21E-26	
221.394	1.18E-26	
221.458	1.15E-26	
221.523	1.12E-26	
221.588	1.09E-26	
221.653	1.06E-26	
221.718	1.03E-26	
221.783	1.00E-26	
221.848	9.74E-27	
221.913	9.47E-27	
221.978	9.22E-27	
222.043	8.97E-27	
222.108	8.73E-27	
222.173	8.50E-27	
222.238	8.27E-27	
222.302	8.05E-27	
222.367	7.83E-27	
222.432	7.62E-27	
222.497	7.42E-27	
222.562	7.22E-27	
222.627	7.02E-27	
222.692	6.83E-27	
222.757	6.65E-27	
222.822	6.47E-27	
222.887	6.30E-27	
222.952	6.13E-27	
223.016	5.96E-27	
223.081	5.80E-27	
223.146	5.65E-27	
223.211	5.50E-27	
223.276	5.35E-27	
223.341	5.21E-27	
223.406	5.07E-27	
223.471	4.93E-27	
223.536	4.80E-27	
223.601	4.67E-27	
223.666	4.54E-27	
223.73	4.42E-27	
223.795	4.30E-27	
223.86	4.19E-27	
223.925	4.07E-27	
223.99	3.96E-27	
224.055	3.86E-27	
224.12	3.75E-27	
224.185	3.65E-27	
224.25	3.56E-27	
224.315	3.46E-27	
224.379	3.37E-27	
224.444	3.28E-27	
224.509	3.19E-27	
224.574	3.10E-27	
224.639	3.02E-27	
224.704	2.94E-27	
224.769	2.86E-27	
224.834	2.78E-27	
224.899	2.71E-27	
224.964	2.64E-27	
225.028	2.56E-27	
225.093	2.50E-27	
225.158	2.43E-27	
225.223	2.36E-27	
225.288	2.30E-27	
225.353	2.24E-27	
225.418	2.18E-27	
225.483	2.12E-27	
225.548	2.06E-27	
225.612	2.01E-27	
225.677	1.95E-27	
225.742	1.90E-27	
225.807	1.85E-27	
225.872	1.80E-27	
225.937	1.75E-27	
226.002	1.71E-27	
226.067	1.66E-27	
226.132	1.61E-27	
226.196	1.57E-27	
226.261	1.53E-27	
226.326	1.49E-27	
226.391	1.45E-27	
226.456	1.41E-27	
226.521	1.37E-27	
226.586	1.33E-27	
226.651	1.30E-27	
226.715	1.26E-27	
226.78	1.23E-27	
226.845	1.20E-27	
226.91	1.16E-27	
226.975	1.13E-27	
227.04	1.10E-27	
227.105	1.07E-27	
227.17	1.04E-27	
227.234	1.02E-27	
227.299	9.89E-28	
227.364	9.63E-28	
227.429	9.37E-28	
227.494	9.12E-28	
227.559	8.87E-28	
227.624	8.63E-28	
227.689	8.40E-28	
227.753	8.18E-28	
227.818	7.96E-28	
227.883	7.74E-28	
227.948	7.53E-28	
228.013	7.33E-28	
228.078	7.14E-28	
228.143	6.94E-28	
228.208	6.76E-28	
228.272	6.58E-28	
228.337	6.40E-28	
228.402	6.23E-28	
228.467	6.06E-28	
228.532	5.90E-28	
228.597	5.74E-28	
228.662	5.58E-28	
228.726	5.43E-28	
228.791	5.29E-28	
228.856	5.15E-28	
228.921	5.01E-28	
228.986	4.87E-28	
229.051	4.74E-28	
229.116	4.62E-28	
229.18	4.49E-28	
229.245	4.37E-28	
229.31	4.25E-28	
229.375	4.14E-28	
229.44	4.03E-28	
229.505	3.92E-28	
229.57	3.81E-28	
229.634	3.71E-28	
229.699	3.61E-28	
229.764	3.52E-28	
